date,mean_score,median_score,std_dev,count
2023-04-05,2.97,2.5,2.43,38
2023-04-06,3.04,3.0,1.54,50
2023-04-07,2.98,3.0,2.06,48
2023-04-08,2.11,3.0,1.6,35
2023-04-09,3.43,3.0,1.75,28
2023-04-10,3.74,4.0,2.14,34
2023-04-11,2.69,3.0,1.66,39
2023-04-12,2.38,3.0,1.35,29
2023-04-13,3.46,3.5,1.84,24
2023-04-14,2.75,3.0,1.19,24
2023-04-15,2.0,2.0,1.59,35
2023-04-16,2.5,2.0,1.61,30
2023-04-17,2.57,2.0,2.08,30
2023-04-18,2.9,3.0,2.32,21
2023-04-19,2.22,2.0,1.37,27
2023-04-20,2.7,2.0,1.84,40
2023-04-21,2.98,2.5,1.76,40
2023-04-22,3.07,3.0,1.51,29
2023-04-23,2.86,2.0,1.95,37
2023-04-24,2.48,2.0,1.55,27
2023-04-25,2.4,2.0,1.99,42
2023-04-26,3.25,3.0,2.0,20
2023-04-27,4.47,4.5,2.21,30
2023-04-28,3.65,4.0,2.15,51
2023-04-29,2.85,3.0,2.22,48
2023-04-30,3.26,3.0,1.84,31
2023-05-01,3.62,4.0,1.47,29
2023-05-02,5.09,5.0,2.39,43
2023-05-03,2.88,3.0,1.52,33
2023-05-04,3.55,4.0,1.72,38
2023-05-05,4.0,4.0,1.44,47
2023-05-06,3.22,3.0,1.64,45
2023-05-07,2.75,2.5,2.15,28
2023-05-08,3.18,3.0,1.89,28
2023-05-09,2.19,2.0,1.79,32
2023-05-10,2.67,2.0,1.59,33
2023-05-11,3.19,3.0,1.73,32
2023-05-12,2.96,3.0,2.14,26
2023-05-13,3.28,3.5,1.88,36
2023-05-14,3.52,4.0,1.86,29
2023-05-15,3.39,3.0,1.71,31
2023-05-16,2.59,3.0,1.74,37
2023-05-17,2.54,2.0,1.73,37
2023-05-18,4.24,5.0,2.11,37
2023-05-19,3.07,3.0,1.94,55
2023-05-20,3.33,4.0,1.95,43
2023-05-21,3.58,4.0,1.23,36
2023-05-22,3.58,4.0,1.54,38
2023-05-23,3.5,4.0,1.8,42
2023-05-24,4.9,4.0,2.86,39
2023-05-25,4.15,4.0,2.94,27
2023-05-26,4.52,5.0,2.1,42
2023-05-27,3.83,3.0,2.39,35
2023-05-28,3.75,3.0,2.0,32
2023-05-29,4.36,4.0,2.27,36
2023-05-30,2.9,3.0,1.58,31
2023-05-31,3.17,3.0,1.7,30
2023-06-01,4.08,4.0,1.38,38
2023-06-02,3.5,3.0,1.7,42
2023-06-03,3.39,3.0,2.07,44
2023-06-04,3.82,4.0,2.1,45
2023-06-05,4.54,5.0,2.17,54
2023-06-06,4.07,4.0,2.55,28
2023-06-07,3.58,4.0,2.02,36
2023-06-08,4.31,4.0,2.43,35
2023-06-09,4.46,4.5,2.12,50
2023-06-10,3.91,4.0,1.94,54
2023-06-11,3.4,3.0,2.06,35
2023-06-12,3.83,3.0,2.07,29
2023-06-13,4.59,4.0,2.69,29
2023-06-14,3.97,4.0,2.18,36
2023-06-15,5.5,6.0,3.36,30
2023-06-16,2.78,3.0,1.86,49
2023-06-17,3.56,3.0,1.83,41
2023-06-18,3.62,4.0,1.99,29
2023-06-19,2.44,2.0,1.96,34
2023-06-20,2.72,2.0,2.26,25
2023-06-21,3.76,4.0,2.3,25
2023-06-22,5.16,5.0,2.37,51
2023-06-23,4.21,4.0,2.05,66
2023-06-24,3.39,3.0,2.09,51
2023-06-25,3.69,4.0,1.65,49
2023-06-26,3.72,4.0,1.6,46
2023-06-27,3.25,3.0,1.63,32
2023-06-28,3.29,3.0,2.22,45
2023-06-29,3.67,4.0,2.14,24
2023-06-30,3.41,3.0,2.16,41
2023-07-01,2.97,3.0,1.94,37
2023-07-02,3.79,3.0,1.89,34
2023-07-03,4.56,4.0,2.77,48
2023-07-04,4.35,4.0,2.44,34
2023-07-05,3.45,3.0,2.4,40
2023-07-06,3.82,4.0,2.03,49
2023-07-07,3.23,3.0,2.05,52
2023-07-08,2.78,3.0,1.62,32
2023-07-09,3.39,3.0,2.24,44
2023-07-10,3.12,3.0,1.91,48
2023-07-11,2.94,3.0,1.71,80
2023-07-12,3.01,3.0,1.89,70
2023-07-13,3.11,3.0,1.68,35
2023-07-14,3.43,3.0,1.88,42
2023-07-15,3.07,3.0,1.79,41
2023-07-16,3.86,3.0,2.45,42
2023-07-17,2.75,2.5,1.84,40
2023-07-18,3.11,4.0,1.45,37
2023-07-19,3.48,4.0,1.92,33
2023-07-20,3.31,4.0,2.07,45
2023-07-21,3.12,3.0,2.02,49
2023-07-22,3.44,3.0,1.78,45
2023-07-23,3.88,4.0,1.84,32
2023-07-24,3.08,3.0,1.84,36
2023-07-25,3.51,3.0,1.99,37
2023-07-26,2.97,2.0,1.94,37
2023-07-27,2.63,2.0,1.88,27
